station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported
7096,16,"{'mechanical': 15, 'ebike': 1}",2,1,0,1785180932.0
7097,4,"{'mechanical': 2, 'ebike': 2}",0,10,1,1785180961.0
7098,9,"{'mechanical': 8, 'ebike': 1}",2,4,0,1785180982.0
7099,3,"{'mechanical': 1, 'ebike': 2}",0,36,0,1785181006.0
7100,5,"{'mechanical': 5, 'ebike': 0}",2,20,0,1785181035.0
7101,6,"{'mechanical': 6, 'ebike': 0}",1,20,0,1785181045.0
7102,27,"{'mechanical': 24, 'ebike': 3}",0,4,0,1785181049.0
7103,29,"{'mechanical': 26, 'ebike': 3}",0,4,0,1785181040.0
7104,3,"{'mechanical': 2, 'ebike': 1}",0,12,0,1785181012.0
7105,4,"{'mechanical': 2, 'ebike': 2}",1,10,0,1785180979.0
7106,1,"{'mechanical': 1, 'ebike': 0}",0,22,0,1785180995.0
7107,5,"{'mechanical': 4, 'ebike': 1}",0,10,0,1785180955.0
7109,2,"{'mechanical': 2, 'ebike': 0}",0,30,0,1785181030.0
7110,4,"{'mechanical': 2, 'ebike': 2}",1,10,0,1785180935.0
7111,2,"{'mechanical': 2, 'ebike': 0}",1,8,0,1785180970.0
7112,13,"{'mechanical': 13, 'ebike': 0}",1,5,0,1785181046.0
7113,6,"{'mechanical': 1, 'ebike': 5}",0,9,0,1785181008.0
7114,5,"{'mechanical': 4, 'ebike': 1}",0,22,0,1785181048.0
7115,10,"{'mechanical': 10, 'ebike': 0}",2,19,0,1785180959.0
7116,2,"{'mechanical': 2, 'ebike': 0}",1,16,0,1785181015.0
7117,0,"{'mechanical': 0, 'ebike': 0}",1,18,0,1785180968.0
7118,13,"{'mechanical': 13, 'ebike': 0}",1,5,0,1785181045.0
7119,5,"{'mechanical': 4, 'ebike': 1}",0,10,0,1785180975.0
7120,0,"{'mechanical': 0, 'ebike': 0}",1,10,0,1785181015.0
7121,19,"{'mechanical': 16, 'ebike': 3}",1,7,0,1785180999.0
7122,6,"{'mechanical': 4, 'ebike': 2}",1,8,0,1785180999.0
7123,3,"{'mechanical': 3, 'ebike': 0}",1,11,0,1785181024.0
7124,8,"{'mechanical': 8, 'ebike': 0}",0,11,0,1785180971.0
7126,8,"{'mechanical': 3, 'ebike': 5}",3,6,0,1785180937.0
7127,4,"{'mechanical': 2, 'ebike': 2}",0,11,0,1785180980.0
7128,1,"{'mechanical': 1, 'ebike': 0}",0,22,0,1785180937.0
7129,2,"{'mechanical': 2, 'ebike': 0}",1,8,0,1785181002.0
7130,0,"{'mechanical': 0, 'ebike': 0}",1,14,0,1785180965.0
7131,4,"{'mechanical': 3, 'ebike': 1}",1,10,0,1785181036.0
7132,1,"{'mechanical': 1, 'ebike': 0}",0,8,0,1785181043.0
7133,3,"{'mechanical': 2, 'ebike': 1}",1,7,0,1785181026.0
7135,22,"{'mechanical': 22, 'ebike': 0}",0,13,0,1785180946.0
7137,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1785181019.0
7138,0,"{'mechanical': 0, 'ebike': 0}",0,27,0,1785181002.0
7139,1,"{'mechanical': 0, 'ebike': 1}",0,14,0,1785181012.0
7140,3,"{'mechanical': 2, 'ebike': 1}",1,11,0,1785180945.0
7141,3,"{'mechanical': 2, 'ebike': 1}",0,12,0,1785181011.0
7142,0,"{'mechanical': 0, 'ebike': 0}",2,13,0,1785181017.0
7143,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1785180958.0
7144,1,"{'mechanical': 1, 'ebike': 0}",1,13,0,1785181042.0
7146,0,"{'mechanical': 0, 'ebike': 0}",0,18,1,1785180978.0
7147,6,"{'mechanical': 6, 'ebike': 0}",0,8,1,1785180963.0
7148,9,"{'mechanical': 9, 'ebike': 0}",1,13,0,1785181012.0
7149,0,"{'mechanical': 0, 'ebike': 0}",0,11,0,1785181045.0
7150,1,"{'mechanical': 1, 'ebike': 0}",2,15,1,1785181050.0
7151,2,"{'mechanical': 2, 'ebike': 0}",0,17,0,1785180959.0
7152,1,"{'mechanical': 1, 'ebike': 0}",2,8,0,1785180937.0
7153,4,"{'mechanical': 4, 'ebike': 0}",1,14,0,1785181006.0
7154,4,"{'mechanical': 1, 'ebike': 3}",1,18,0,1785181036.0
7155,4,"{'mechanical': 3, 'ebike': 1}",1,14,0,1785180968.0
7156,1,"{'mechanical': 0, 'ebike': 1}",0,14,0,1785181041.0
7157,1,"{'mechanical': 1, 'ebike': 0}",0,21,0,1785181013.0
7158,0,"{'mechanical': 0, 'ebike': 0}",2,13,0,1785180935.0
7160,5,"{'mechanical': 4, 'ebike': 1}",1,13,0,1785180937.0
7161,17,"{'mechanical': 17, 'ebike': 0}",1,5,0,1785181020.0
7162,16,"{'mechanical': 15, 'ebike': 1}",1,6,0,1785180978.0
7164,13,"{'mechanical': 12, 'ebike': 1}",1,9,0,1785180942.0
7168,47,"{'mechanical': 42, 'ebike': 5}",0,0,0,1785181054.0
7169,10,"{'mechanical': 10, 'ebike': 0}",0,1,0,1785181004.0
7170,9,"{'mechanical': 8, 'ebike': 1}",1,5,0,1785181049.0
7172,15,"{'mechanical': 15, 'ebike': 0}",0,4,0,1785180957.0
7173,3,"{'mechanical': 2, 'ebike': 1}",0,15,1,1785181022.0
7174,2,"{'mechanical': 2, 'ebike': 0}",2,11,0,1785181032.0
7175,27,"{'mechanical': 26, 'ebike': 1}",0,0,0,1785180972.0
7176,1,"{'mechanical': 1, 'ebike': 0}",1,16,1,1785180978.0
7178,10,"{'mechanical': 9, 'ebike': 1}",0,4,1,1785180074.0
7180,2,"{'mechanical': 1, 'ebike': 1}",7,14,0,1785181012.0
7181,5,"{'mechanical': 5, 'ebike': 0}",0,9,1,1785180988.0
7182,1,"{'mechanical': 1, 'ebike': 0}",1,17,0,1785180970.0
7183,7,"{'mechanical': 6, 'ebike': 1}",2,6,0,1785181039.0
7184,4,"{'mechanical': 1, 'ebike': 3}",1,6,0,1785180987.0
7188,30,"{'mechanical': 29, 'ebike': 1}",0,5,0,1785180933.0
7189,3,"{'mechanical': 2, 'ebike': 1}",1,11,0,1785181038.0
7190,8,"{'mechanical': 6, 'ebike': 2}",0,7,0,1785180963.0
7191,9,"{'mechanical': 4, 'ebike': 5}",0,2,0,1785180993.0
7192,1,"{'mechanical': 0, 'ebike': 1}",2,11,0,1785181033.0
7193,1,"{'mechanical': 1, 'ebike': 0}",1,13,0,1785180936.0
7195,1,"{'mechanical': 0, 'ebike': 1}",0,10,0,1785181041.0
7196,1,"{'mechanical': 1, 'ebike': 0}",0,10,0,1785180938.0
7197,3,"{'mechanical': 2, 'ebike': 1}",2,6,0,1785181011.0
7198,4,"{'mechanical': 4, 'ebike': 0}",3,12,0,1785180996.0
7199,8,"{'mechanical': 4, 'ebike': 4}",0,11,0,1785181050.0
7202,20,"{'mechanical': 18, 'ebike': 2}",0,6,0,1785180956.0
7203,15,"{'mechanical': 15, 'ebike': 0}",1,18,0,1785181045.0
7204,6,"{'mechanical': 4, 'ebike': 2}",0,13,0,1785180949.0
7205,5,"{'mechanical': 2, 'ebike': 3}",0,10,0,1785181008.0
7206,1,"{'mechanical': 1, 'ebike': 0}",0,12,0,1785180951.0
7207,5,"{'mechanical': 4, 'ebike': 1}",1,41,0,1785180972.0
7208,3,"{'mechanical': 2, 'ebike': 1}",3,9,0,1785180995.0
7209,5,"{'mechanical': 2, 'ebike': 3}",1,13,0,1785180930.0
7210,1,"{'mechanical': 1, 'ebike': 0}",0,14,0,1785181009.0
7216,1,"{'mechanical': 1, 'ebike': 0}",2,19,0,1785181033.0
7217,9,"{'mechanical': 8, 'ebike': 1}",1,5,0,1785181048.0
7220,5,"{'mechanical': 5, 'ebike': 0}",2,12,0,1785180958.0
7221,2,"{'mechanical': 2, 'ebike': 0}",1,8,0,1785180959.0
7222,16,"{'mechanical': 16, 'ebike': 0}",1,10,0,1785180990.0
7223,3,"{'mechanical': 2, 'ebike': 1}",0,9,0,1785180955.0
7224,2,"{'mechanical': 2, 'ebike': 0}",0,21,0,1785180975.0
7225,18,"{'mechanical': 18, 'ebike': 0}",0,1,0,1785181040.0
