station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported
7102,1,"{'mechanical': 1, 'ebike': 0}",0,29,1,1747687217
7103,14,"{'mechanical': 12, 'ebike': 2}",0,0,0,1747687208
7104,2,"{'mechanical': 1, 'ebike': 1}",0,10,3,1747687308
7105,2,"{'mechanical': 2, 'ebike': 0}",0,11,1,1747687240
7106,4,"{'mechanical': 4, 'ebike': 0}",1,22,0,1747687246
7107,3,"{'mechanical': 2, 'ebike': 1}",0,12,0,1747687223
7108,6,"{'mechanical': 6, 'ebike': 0}",0,7,1,1747687281
7110,5,"{'mechanical': 5, 'ebike': 0}",0,8,2,1747687309
7111,0,"{'mechanical': 0, 'ebike': 0}",1,9,1,1747687363
7112,10,"{'mechanical': 9, 'ebike': 1}",0,8,1,1747687354
7113,4,"{'mechanical': 4, 'ebike': 0}",1,10,0,1747687219
7114,2,"{'mechanical': 1, 'ebike': 1}",0,24,0,1747687298
7115,18,"{'mechanical': 18, 'ebike': 0}",0,13,0,1747687307
7116,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1747687237
7117,0,"{'mechanical': 0, 'ebike': 0}",0,18,1,1747687379
7118,2,"{'mechanical': 2, 'ebike': 0}",0,17,0,1747687276
7119,4,"{'mechanical': 3, 'ebike': 1}",0,11,0,1747687240
7120,4,"{'mechanical': 3, 'ebike': 1}",0,5,0,1747687297
7121,12,"{'mechanical': 12, 'ebike': 0}",0,15,0,1747687256
7122,12,"{'mechanical': 12, 'ebike': 0}",0,2,0,1747687328
7123,14,"{'mechanical': 10, 'ebike': 4}",0,0,1,1747687321
7124,12,"{'mechanical': 12, 'ebike': 0}",2,5,0,1747687336
7126,1,"{'mechanical': 0, 'ebike': 1}",1,13,1,1747687224
7127,2,"{'mechanical': 1, 'ebike': 1}",1,11,1,1747687307
7128,0,"{'mechanical': 0, 'ebike': 0}",0,22,1,1747687238
7129,5,"{'mechanical': 5, 'ebike': 0}",0,4,2,1747687277
7130,5,"{'mechanical': 5, 'ebike': 0}",2,8,0,1747687371
7131,6,"{'mechanical': 2, 'ebike': 4}",0,9,0,1747687244
7132,0,"{'mechanical': 0, 'ebike': 0}",0,9,0,1747687288
7135,27,"{'mechanical': 26, 'ebike': 1}",0,1,1,1747687369
7137,8,"{'mechanical': 4, 'ebike': 4}",1,6,0,1747687260
7138,0,"{'mechanical': 0, 'ebike': 0}",2,25,0,1747687347
7139,4,"{'mechanical': 4, 'ebike': 0}",1,9,1,1747687363
7140,0,"{'mechanical': 0, 'ebike': 0}",0,14,1,1747687270
7141,5,"{'mechanical': 4, 'ebike': 1}",0,10,0,1747687286
7142,9,"{'mechanical': 2, 'ebike': 7}",0,6,0,1747687353
7143,0,"{'mechanical': 0, 'ebike': 0}",0,13,1,1747687235
7144,5,"{'mechanical': 4, 'ebike': 1}",0,10,0,1747687312
7146,2,"{'mechanical': 1, 'ebike': 1}",0,17,0,1747687235
7147,11,"{'mechanical': 10, 'ebike': 1}",0,4,0,1747687384
7148,20,"{'mechanical': 20, 'ebike': 0}",0,2,0,1747687226
7149,2,"{'mechanical': 1, 'ebike': 1}",0,9,0,1747687353
7150,7,"{'mechanical': 4, 'ebike': 3}",1,11,0,1747687299
7151,1,"{'mechanical': 1, 'ebike': 0}",0,17,1,1747687326
7153,9,"{'mechanical': 8, 'ebike': 1}",1,6,1,1747687270
7154,8,"{'mechanical': 8, 'ebike': 0}",1,13,1,1747687266
7155,12,"{'mechanical': 4, 'ebike': 8}",0,7,0,1747687220
7156,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1747687215
7157,6,"{'mechanical': 6, 'ebike': 0}",0,16,1,1747687373
7158,12,"{'mechanical': 10, 'ebike': 2}",0,2,1,1747687240
7160,13,"{'mechanical': 12, 'ebike': 1}",0,6,0,1747687241
7161,6,"{'mechanical': 6, 'ebike': 0}",0,16,1,1747687235
7162,2,"{'mechanical': 1, 'ebike': 1}",1,18,1,1747687244
7163,7,"{'mechanical': 6, 'ebike': 1}",0,7,1,1747687362
7164,15,"{'mechanical': 14, 'ebike': 1}",2,5,1,1747687235
7168,32,"{'mechanical': 31, 'ebike': 1}",1,14,0,1747687319
7169,8,"{'mechanical': 8, 'ebike': 0}",0,3,0,1747687272
7170,7,"{'mechanical': 7, 'ebike': 0}",0,7,1,1747687239
7171,10,"{'mechanical': 10, 'ebike': 0}",2,14,0,1747687354
7172,13,"{'mechanical': 11, 'ebike': 2}",0,5,1,1747687376
7173,0,"{'mechanical': 0, 'ebike': 0}",2,17,0,1747687384
7174,5,"{'mechanical': 5, 'ebike': 0}",1,9,0,1747687359
7175,9,"{'mechanical': 7, 'ebike': 2}",1,16,1,1747687264
7176,7,"{'mechanical': 7, 'ebike': 0}",2,10,0,1747687346
7178,4,"{'mechanical': 3, 'ebike': 1}",0,10,1,1747687363
7180,14,"{'mechanical': 2, 'ebike': 12}",0,9,0,1747687286
7181,7,"{'mechanical': 7, 'ebike': 0}",0,7,0,1747687298
7182,0,"{'mechanical': 0, 'ebike': 0}",0,19,0,1747687351
7183,3,"{'mechanical': 3, 'ebike': 0}",0,12,0,1747687278
7188,13,"{'mechanical': 12, 'ebike': 1}",0,1,1,1747687210
7189,11,"{'mechanical': 11, 'ebike': 0}",1,1,0,1747687278
7190,2,"{'mechanical': 2, 'ebike': 0}",0,11,0,1747687279
7191,5,"{'mechanical': 2, 'ebike': 3}",1,3,2,1747687248
7192,6,"{'mechanical': 5, 'ebike': 1}",0,9,0,1747687305
7193,5,"{'mechanical': 5, 'ebike': 0}",0,10,0,1747687257
7194,5,"{'mechanical': 3, 'ebike': 2}",0,18,0,1747687282
7195,1,"{'mechanical': 0, 'ebike': 1}",0,9,0,1747687386
7196,3,"{'mechanical': 0, 'ebike': 3}",0,5,0,1747687334
7197,10,"{'mechanical': 9, 'ebike': 1}",1,0,0,1747687207
7198,16,"{'mechanical': 15, 'ebike': 1}",0,3,0,1747687220
7199,7,"{'mechanical': 5, 'ebike': 2}",1,9,0,1747687217
7203,27,"{'mechanical': 27, 'ebike': 0}",2,4,0,1747687244
7204,4,"{'mechanical': 4, 'ebike': 0}",0,15,0,1747687346
7205,7,"{'mechanical': 5, 'ebike': 2}",0,8,0,1747687353
7206,6,"{'mechanical': 3, 'ebike': 3}",1,5,1,1747687223
7207,28,"{'mechanical': 18, 'ebike': 10}",0,19,0,1747687266
7208,1,"{'mechanical': 1, 'ebike': 0}",1,13,0,1747687240
7209,16,"{'mechanical': 9, 'ebike': 7}",0,1,0,1747687265
7210,12,"{'mechanical': 12, 'ebike': 0}",0,2,0,1747687370
7211,4,"{'mechanical': 4, 'ebike': 0}",0,10,1,1747687303
7216,18,"{'mechanical': 17, 'ebike': 1}",1,3,0,1747687310
7217,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1747687206
7220,13,"{'mechanical': 13, 'ebike': 0}",2,4,0,1747687333
7221,4,"{'mechanical': 1, 'ebike': 3}",0,7,0,1747687237
7222,23,"{'mechanical': 22, 'ebike': 1}",2,2,0,1747687330
7223,12,"{'mechanical': 11, 'ebike': 1}",0,0,0,1747687321
7224,4,"{'mechanical': 4, 'ebike': 0}",0,18,1,1747687369
7225,17,"{'mechanical': 17, 'ebike': 0}",0,2,0,1747687335
7226,18,"{'mechanical': 18, 'ebike': 0}",0,0,0,1747687373
7227,24,"{'mechanical': 23, 'ebike': 1}",1,6,0,1747687353
7228,10,"{'mechanical': 10, 'ebike': 0}",0,8,0,1747687272
7229,6,"{'mechanical': 6, 'ebike': 0}",0,6,0,1747687320
7230,17,"{'mechanical': 17, 'ebike': 0}",0,2,0,1747687227
7231,13,"{'mechanical': 10, 'ebike': 3}",1,4,0,1747687370
7232,2,"{'mechanical': 2, 'ebike': 0}",1,13,0,1747687350
7233,2,"{'mechanical': 2, 'ebike': 0}",1,12,1,1747687252
7234,6,"{'mechanical': 6, 'ebike': 0}",1,12,0,1747687351
7235,6,"{'mechanical': 6, 'ebike': 0}",0,10,0,1747687310
7236,13,"{'mechanical': 13, 'ebike': 0}",0,9,0,1747687266
7237,5,"{'mechanical': 4, 'ebike': 1}",0,10,0,1747687339
7238,9,"{'mechanical': 8, 'ebike': 1}",0,6,0,1747687348
7239,18,"{'mechanical': 18, 'ebike': 0}",2,22,0,1747687367
7240,26,"{'mechanical': 14, 'ebike': 12}",1,7,0,1747687220
7241,5,"{'mechanical': 5, 'ebike': 0}",0,7,0,1747687225
7242,5,"{'mechanical': 5, 'ebike': 0}",0,26,2,1747687255
7243,7,"{'mechanical': 6, 'ebike': 1}",0,6,1,1747687379
7244,2,"{'mechanical': 2, 'ebike': 0}",0,14,0,1747687353
7246,5,"{'mechanical': 2, 'ebike': 3}",2,10,2,1747687356
7247,11,"{'mechanical': 10, 'ebike': 1}",0,0,0,1747687277
7248,15,"{'mechanical': 14, 'ebike': 1}",1,4,0,1747687221
7249,21,"{'mechanical': 3, 'ebike': 18}",3,27,0,1747687305
7250,12,"{'mechanical': 11, 'ebike': 1}",0,3,1,1747687336
7252,0,"{'mechanical': 0, 'ebike': 0}",0,18,0,1747687263
7253,3,"{'mechanical': 2, 'ebike': 1}",0,8,0,1747687359
7256,0,"{'mechanical': 0, 'ebike': 0}",0,12,0,1747687341
7257,6,"{'mechanical': 4, 'ebike': 2}",0,12,1,1747687304
7258,15,"{'mechanical': 13, 'ebike': 2}",0,0,0,1747687369
7259,14,"{'mechanical': 14, 'ebike': 0}",1,3,0,1747687217
7260,7,"{'mechanical': 7, 'ebike': 0}",2,6,0,1747687279
7261,5,"{'mechanical': 5, 'ebike': 0}",1,18,0,1747687275
7262,1,"{'mechanical': 0, 'ebike': 1}",0,15,0,1747687355
7264,2,"{'mechanical': 1, 'ebike': 1}",0,17,1,1747687315
7265,4,"{'mechanical': 1, 'ebike': 3}",0,7,1,1747687333
7267,1,"{'mechanical': 1, 'ebike': 0}",0,14,0,1747687353
7268,7,"{'mechanical': 7, 'ebike': 0}",0,8,0,1747687268
7269,3,"{'mechanical': 3, 'ebike': 0}",0,17,0,1747687303
7270,7,"{'mechanical': 7, 'ebike': 0}",0,13,0,1747687280
7271,4,"{'mechanical': 3, 'ebike': 1}",0,13,0,1747687314
7272,1,"{'mechanical': 1, 'ebike': 0}",0,11,0,1747687363
7273,7,"{'mechanical': 6, 'ebike': 1}",0,13,0,1747687279
7274,2,"{'mechanical': 2, 'ebike': 0}",0,14,0,1747687291
7276,3,"{'mechanical': 2, 'ebike': 1}",0,8,0,1747687355
7277,3,"{'mechanical': 2, 'ebike': 1}",0,17,0,1747687384
7278,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1747687325
7279,1,"{'mechanical': 1, 'ebike': 0}",0,14,0,1747687215
7280,5,"{'mechanical': 5, 'ebike': 0}",1,14,0,1747687230
7281,2,"{'mechanical': 2, 'ebike': 0}",0,22,0,1747687253
7282,14,"{'mechanical': 14, 'ebike': 0}",0,9,0,1747687340
7283,8,"{'mechanical': 8, 'ebike': 0}",0,11,0,1747687228
7284,1,"{'mechanical': 1, 'ebike': 0}",0,22,0,1747687319
7285,13,"{'mechanical': 12, 'ebike': 1}",0,22,1,1747687216
7286,2,"{'mechanical': 2, 'ebike': 0}",0,16,0,1747687340
7287,14,"{'mechanical': 14, 'ebike': 0}",0,0,0,1747687357
7288,11,"{'mechanical': 11, 'ebike': 0}",1,17,0,1747687383
7289,12,"{'mechanical': 11, 'ebike': 1}",3,7,0,1747687330
7291,1,"{'mechanical': 1, 'ebike': 0}",1,12,1,1747687311
7292,3,"{'mechanical': 0, 'ebike': 3}",0,21,0,1747687290
7296,3,"{'mechanical': 2, 'ebike': 1}",0,16,0,1747687308
7297,4,"{'mechanical': 4, 'ebike': 0}",0,15,0,1747687251
7298,8,"{'mechanical': 8, 'ebike': 0}",0,17,0,1747687289
7299,8,"{'mechanical': 8, 'ebike': 0}",1,6,0,1747687304
7301,2,"{'mechanical': 0, 'ebike': 2}",0,13,0,1747687366
7302,2,"{'mechanical': 1, 'ebike': 1}",0,9,0,1747687305
7303,16,"{'mechanical': 15, 'ebike': 1}",1,1,0,1747687338
7309,22,"{'mechanical': 21, 'ebike': 1}",0,1,0,1747687293
7311,2,"{'mechanical': 1, 'ebike': 1}",0,17,0,1747687293
7312,11,"{'mechanical': 9, 'ebike': 2}",0,0,0,1747687322
7313,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1747687355
7314,13,"{'mechanical': 11, 'ebike': 2}",0,2,0,1747687318
7315,11,"{'mechanical': 11, 'ebike': 0}",0,0,0,1747687231
7316,15,"{'mechanical': 15, 'ebike': 0}",0,0,0,1747687304
7317,19,"{'mechanical': 19, 'ebike': 0}",0,0,0,1747687368
7318,15,"{'mechanical': 15, 'ebike': 0}",0,0,0,1747687303
7319,10,"{'mechanical': 10, 'ebike': 0}",1,0,0,1747687374
7320,11,"{'mechanical': 11, 'ebike': 0}",0,8,0,1747687379
7321,12,"{'mechanical': 12, 'ebike': 0}",0,6,0,1747687344
7322,14,"{'mechanical': 13, 'ebike': 1}",1,4,0,1747687252
7323,11,"{'mechanical': 11, 'ebike': 0}",0,8,0,1747687259
7324,9,"{'mechanical': 9, 'ebike': 0}",2,12,0,1747687333
7326,7,"{'mechanical': 2, 'ebike': 5}",0,12,0,1747687347
7327,2,"{'mechanical': 1, 'ebike': 1}",0,14,0,1747687237
7329,17,"{'mechanical': 16, 'ebike': 1}",0,2,0,1747687353
7331,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1747687313
7332,4,"{'mechanical': 4, 'ebike': 0}",1,17,0,1747687362
7333,4,"{'mechanical': 4, 'ebike': 0}",1,12,1,1747687277
7334,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1747687281
7335,2,"{'mechanical': 2, 'ebike': 0}",0,17,0,1747687221
7336,19,"{'mechanical': 18, 'ebike': 1}",0,0,0,1747687363
7337,21,"{'mechanical': 21, 'ebike': 0}",0,0,1,1747687282
7338,16,"{'mechanical': 14, 'ebike': 2}",0,3,0,1747687286
7339,8,"{'mechanical': 7, 'ebike': 1}",0,6,1,1747687375
7340,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1747687250
7341,15,"{'mechanical': 15, 'ebike': 0}",0,0,0,1747687264
7342,8,"{'mechanical': 8, 'ebike': 0}",0,1,2,1747687259
7343,23,"{'mechanical': 23, 'ebike': 0}",0,0,0,1747687228
7344,41,"{'mechanical': 41, 'ebike': 0}",2,3,0,1747687303
7345,20,"{'mechanical': 19, 'ebike': 1}",0,10,0,1747687225
7346,18,"{'mechanical': 17, 'ebike': 1}",0,5,0,1747687233
7347,1,"{'mechanical': 1, 'ebike': 0}",0,14,0,1747687275
7348,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1747687295
7349,0,"{'mechanical': 0, 'ebike': 0}",0,21,1,1747687211
7350,2,"{'mechanical': 1, 'ebike': 1}",0,21,0,1747687332
7351,3,"{'mechanical': 2, 'ebike': 1}",0,16,0,1747687211
7352,1,"{'mechanical': 0, 'ebike': 1}",0,17,1,1747687267
7353,3,"{'mechanical': 2, 'ebike': 1}",0,16,0,1747687249
7354,9,"{'mechanical': 9, 'ebike': 0}",4,17,1,1747687328
7355,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1747687373
7356,8,"{'mechanical': 8, 'ebike': 0}",1,22,0,1747687219
7357,5,"{'mechanical': 5, 'ebike': 0}",2,12,0,1747687239
7358,4,"{'mechanical': 2, 'ebike': 2}",0,10,3,1747687318
7359,5,"{'mechanical': 1, 'ebike': 4}",0,17,1,1747687344
7360,5,"{'mechanical': 2, 'ebike': 3}",0,12,0,1747687244
7361,5,"{'mechanical': 1, 'ebike': 4}",0,14,0,1747687381
7362,5,"{'mechanical': 5, 'ebike': 0}",0,14,0,1747687251
7363,1,"{'mechanical': 1, 'ebike': 0}",0,14,0,1747687303
7364,18,"{'mechanical': 18, 'ebike': 0}",0,1,0,1747687206
7365,22,"{'mechanical': 22, 'ebike': 0}",1,0,0,1747687226
7366,16,"{'mechanical': 16, 'ebike': 0}",0,4,0,1747687217
7367,14,"{'mechanical': 14, 'ebike': 0}",0,1,0,1747687258
7368,3,"{'mechanical': 2, 'ebike': 1}",0,3,2,1747687256
7371,1,"{'mechanical': 0, 'ebike': 1}",0,19,0,1747687228
7373,5,"{'mechanical': 5, 'ebike': 0}",0,9,0,1747687248
7374,5,"{'mechanical': 5, 'ebike': 0}",0,14,0,1747687224
7375,7,"{'mechanical': 7, 'ebike': 0}",0,4,0,1747687285
7376,3,"{'mechanical': 1, 'ebike': 2}",0,16,0,1747687213
7377,6,"{'mechanical': 3, 'ebike': 3}",0,29,0,1747687345
7378,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1747687333
7379,1,"{'mechanical': 0, 'ebike': 1}",0,13,1,1747687319
7380,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1747687286
7381,3,"{'mechanical': 3, 'ebike': 0}",1,30,1,1747687363
7383,4,"{'mechanical': 4, 'ebike': 0}",0,11,0,1747687257
7384,6,"{'mechanical': 6, 'ebike': 0}",1,2,0,1747687384
7385,9,"{'mechanical': 3, 'ebike': 6}",16,8,0,1747687313
7386,6,"{'mechanical': 1, 'ebike': 5}",0,10,0,1747687285
7387,2,"{'mechanical': 1, 'ebike': 1}",0,10,0,1747687279
7388,1,"{'mechanical': 1, 'ebike': 0}",1,13,0,1747687297
7389,3,"{'mechanical': 3, 'ebike': 0}",0,22,0,1747687319
7391,12,"{'mechanical': 11, 'ebike': 1}",0,19,0,1747687353
7395,1,"{'mechanical': 1, 'ebike': 0}",0,22,0,1747687322
7398,10,"{'mechanical': 10, 'ebike': 0}",0,7,2,1747687377
7399,4,"{'mechanical': 4, 'ebike': 0}",0,15,0,1747687213
7400,9,"{'mechanical': 9, 'ebike': 0}",0,14,0,1747687352
7403,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1747687277
7404,0,"{'mechanical': 0, 'ebike': 0}",0,16,3,1747687306
7407,12,"{'mechanical': 10, 'ebike': 2}",2,3,0,1747687252
7409,15,"{'mechanical': 14, 'ebike': 1}",0,12,0,1747687335
7410,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1747687260
7411,11,"{'mechanical': 11, 'ebike': 0}",0,8,2,1747687326
7412,7,"{'mechanical': 0, 'ebike': 7}",1,15,0,1747687368
7414,1,"{'mechanical': 0, 'ebike': 1}",0,14,0,1747687241
7415,1,"{'mechanical': 0, 'ebike': 1}",0,22,0,1747687242
7416,12,"{'mechanical': 12, 'ebike': 0}",1,18,0,1747687379
7417,3,"{'mechanical': 3, 'ebike': 0}",1,7,0,1747687270
7418,1,"{'mechanical': 1, 'ebike': 0}",0,24,0,1747687379
7419,0,"{'mechanical': 0, 'ebike': 0}",0,26,0,1747687225
7420,10,"{'mechanical': 7, 'ebike': 3}",0,17,1,1747687293
7422,12,"{'mechanical': 10, 'ebike': 2}",0,4,0,1747687256
7424,3,"{'mechanical': 0, 'ebike': 3}",0,20,0,1747687361
7425,14,"{'mechanical': 14, 'ebike': 0}",2,5,1,1747687249
7427,8,"{'mechanical': 7, 'ebike': 1}",1,18,0,1747687298
7428,22,"{'mechanical': 20, 'ebike': 2}",1,2,0,1747687267
7429,3,"{'mechanical': 0, 'ebike': 3}",0,12,0,1747687326
7430,13,"{'mechanical': 13, 'ebike': 0}",2,12,0,1747687325
7431,24,"{'mechanical': 23, 'ebike': 1}",1,1,0,1747687229
7432,16,"{'mechanical': 15, 'ebike': 1}",0,31,0,1747687377
7433,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1747687231
7434,23,"{'mechanical': 0, 'ebike': 23}",3,13,0,1747687241
7435,0,"{'mechanical': 0, 'ebike': 0}",0,10,0,1747687377
7437,6,"{'mechanical': 6, 'ebike': 0}",0,9,0,1747687316
7438,13,"{'mechanical': 13, 'ebike': 0}",1,5,0,1747687300
7441,4,"{'mechanical': 4, 'ebike': 0}",0,18,0,1747687273
7442,2,"{'mechanical': 1, 'ebike': 1}",0,10,2,1747687372
7443,3,"{'mechanical': 3, 'ebike': 0}",1,21,0,1747687361
7444,2,"{'mechanical': 2, 'ebike': 0}",0,17,1,1747687234
7445,9,"{'mechanical': 8, 'ebike': 1}",0,9,0,1747687316
7446,17,"{'mechanical': 17, 'ebike': 0}",0,2,0,1747687309
7447,4,"{'mechanical': 4, 'ebike': 0}",0,17,2,1747687290
7448,7,"{'mechanical': 5, 'ebike': 2}",0,12,0,1747687341
7449,9,"{'mechanical': 8, 'ebike': 1}",0,6,0,1747687337
7451,3,"{'mechanical': 3, 'ebike': 0}",0,26,0,1747687356
7452,3,"{'mechanical': 3, 'ebike': 0}",3,16,0,1747687247
7453,0,"{'mechanical': 0, 'ebike': 0}",0,17,0,1747687287
7454,6,"{'mechanical': 6, 'ebike': 0}",1,7,0,1747687254
7455,3,"{'mechanical': 3, 'ebike': 0}",3,20,1,1747687263
7457,9,"{'mechanical': 8, 'ebike': 1}",0,12,1,1747687300
7458,11,"{'mechanical': 11, 'ebike': 0}",0,6,0,1747687308
7459,0,"{'mechanical': 0, 'ebike': 0}",1,10,0,1747687250
7460,4,"{'mechanical': 4, 'ebike': 0}",2,21,0,1747687304
7461,4,"{'mechanical': 4, 'ebike': 0}",5,14,0,1747687265
7462,4,"{'mechanical': 4, 'ebike': 0}",2,11,0,1747687385
